service_id,date,exception_type
A-DF,20230815,1
A-DF,20230613,1
A-DF,20230610,1
A-DF,20230425,1
A-DF,20230608,1
A-DF,20230407,1
A-DF,20230101,2
A-DF,20230501,1
A-S,20230610,2
A-SDF,20230815,1
A-SDF,20230613,1
A-SDF,20230425,1
A-SDF,20230608,1
A-SDF,20230407,1
A-SDF,20230101,2
A-SDF,20230501,1
A-U,20230815,2
A-U,20230613,2
A-U,20230425,2
A-U,20230608,2
A-U,20230407,2
A-U,20230501,2
E-U,20230831,2
E-U,20230830,2
E-U,20230829,2
E-U,20230828,2
E-U,20230825,2
E-U,20230425,2
E-U,20230824,2
E-U,20230823,2
E-U,20230822,2
E-U,20230221,2
E-U,20230821,2
E-U,20230220,2
E-U,20230818,2
E-U,20230817,2
E-U,20230816,2
E-U,20230815,2
E-U,20230414,2
E-U,20230814,2
E-U,20230413,2
E-U,20230613,2
E-U,20230412,2
E-U,20230411,2
E-U,20230811,2
E-U,20230410,2
E-U,20230810,2
E-U,20230809,2
E-U,20230808,2
E-U,20230608,2
E-U,20230407,2
E-U,20230807,2
E-U,20230406,2
E-U,20230804,2
E-U,20230203,2
E-U,20230803,2
E-U,20230202,2
E-U,20230802,2
E-U,20230201,2
E-U,20230801,2
E-U,20230131,2
E-U,20230731,2
E-U,20230130,2
E-U,20230728,2
E-U,20230727,2
E-U,20230726,2
E-U,20230725,2
E-U,20230724,2
E-U,20230721,2
E-U,20230720,2
E-U,20230719,2
E-U,20230718,2
E-U,20230717,2
E-U,20230714,2
E-U,20230713,2
E-U,20230712,2
E-U,20230711,2
E-U,20230710,2
E-U,20230707,2
E-U,20230706,2
E-U,20230705,2
E-U,20230704,2
E-U,20230703,2
E-U,20230102,2
E-U,20230501,2
FE-U,20230428,2
FE-U,20230427,2
FE-U,20230426,2
FE-U,20230425,2
FE-U,20230424,2
FE-U,20230421,2
FE-U,20230420,2
FE-U,20230419,2
FE-U,20230418,2
FE-U,20230417,2
FE-U,20230815,2
FE-U,20230405,2
FE-U,20230404,2
FE-U,20230403,2
FE-U,20230531,2
FE-U,20230530,2
FE-U,20230529,2
FE-U,20230127,2
FE-U,20230126,2
FE-U,20230526,2
FE-U,20230125,2
FE-U,20230525,2
FE-U,20230124,2
FE-U,20230524,2
FE-U,20230123,2
FE-U,20230523,2
FE-U,20230522,2
FE-U,20230120,2
FE-U,20230119,2
FE-U,20230519,2
FE-U,20230118,2
FE-U,20230518,2
FE-U,20230117,2
FE-U,20230517,2
FE-U,20230116,2
FE-U,20230516,2
FE-U,20230515,2
FE-U,20230113,2
FE-U,20230112,2
FE-U,20230512,2
FE-U,20230111,2
FE-U,20230511,2
FE-U,20230110,2
FE-U,20230510,2
FE-U,20230109,2
FE-U,20230509,2
FE-U,20230508,2
FE-U,20230106,2
FE-U,20230105,2
FE-U,20230505,2
FE-U,20230104,2
FE-U,20230504,2
FE-U,20230103,2
FE-U,20230503,2
FE-U,20230502,2
FE-U,20230501,2
FE-U,20230630,2
FE-U,20230629,2
FE-U,20230228,2
FE-U,20230628,2
FE-U,20230227,2
FE-U,20230627,2
FE-U,20230626,2
FE-U,20230224,2
FE-U,20230223,2
FE-U,20230623,2
FE-U,20230222,2
FE-U,20230622,2
FE-U,20230621,2
FE-U,20230620,2
FE-U,20230619,2
FE-U,20230217,2
FE-U,20230216,2
FE-U,20230616,2
FE-U,20230215,2
FE-U,20230615,2
FE-U,20230214,2
FE-U,20230614,2
FE-U,20230213,2
FE-U,20230613,2
FE-U,20230612,2
FE-U,20230210,2
FE-U,20230209,2
FE-U,20230609,2
FE-U,20230208,2
FE-U,20230608,2
FE-U,20230207,2
FE-U,20230607,2
FE-U,20230206,2
FE-U,20230606,2
FE-U,20230605,2
FE-U,20230602,2
FE-U,20230601,2
FE-U,20230331,2
FE-U,20230330,2
FE-U,20230329,2
FE-U,20230328,2
FE-U,20230327,2
FE-U,20230324,2
FE-U,20230323,2
FE-U,20230322,2
FE-U,20230321,2
FE-U,20230320,2
FE-U,20230317,2
FE-U,20230316,2
FE-U,20230315,2
FE-U,20230314,2
FE-U,20230313,2
FE-U,20230310,2
FE-U,20230309,2
FE-U,20230308,2
FE-U,20230307,2
FE-U,20230306,2
FE-U,20230303,2
FE-U,20230302,2
FE-U,20230301,2
V2-U,20230815,2
V2-U,20230613,2
V2-U,20230425,2
V2-U,20230608,2
V2-U,20230407,2
V2-U,20230501,2
