shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
193008,38.71671,-9.135152,1,
193008,38.716115,-9.133056,2,
193008,38.715464,-9.13209,3,
193008,38.713425,-9.130651,4,
193008,38.712182,-9.130408,5,
193008,38.711314,-9.130714,6,
193008,38.710166,-9.13234,7,
193008,38.710052,-9.134268,8,
193008,38.709944,-9.135962,9,
193008,38.713393,-9.137256,10,
193008,38.715271,-9.13601,11,
193033,38.707592,-9.143346,1,
193033,38.710957,-9.142904,2,
193033,38.713181,-9.143334,3,
193033,38.714911,-9.144479,4,
193033,38.71657,-9.14811,5,
193033,38.71807,-9.15194,6,
193033,38.720248,-9.15489,7,
193033,38.72047,-9.159156,8,
193033,38.720827,-9.160628,9,
193033,38.723867,-9.16058,10,
193033,38.725223,-9.159972,11,
193033,38.727719,-9.162021,12,
193033,38.730337,-9.162242,13,
193033,38.732261,-9.162434,14,
193033,38.735087,-9.165179,15,
193033,38.737727,-9.167631,16,
193033,38.740566,-9.167409,17,
193033,38.741989,-9.169768,18,
193033,38.742583,-9.172662,19,
193033,38.743614,-9.175524,20,
193033,38.744557,-9.17914,21,
193033,38.745703,-9.181725,22,
193033,38.746809,-9.184617,23,
193033,38.747272,-9.188895,24,
193033,38.748946,-9.191185,25,
193033,38.75014,-9.195589,26,
193033,38.749293,-9.19767,27,
193033,38.747781,-9.197821,28,
193033,38.745013,-9.198958,29,
193033,38.745259,-9.202972,30,
193033,38.746263,-9.206509,31,
193033,38.747879,-9.207253,32,
193033,38.749742,-9.207002,33,
193033,38.752708,-9.208781,34,
193033,38.752877,-9.206187,35,
193033,38.753872,-9.206071,36,
193033,38.756864,-9.204729,37,
193033,38.757312,-9.204503,38,
193033,38.763985,-9.196592,39,
193033,38.766042,-9.19818,40,
193033,38.768936,-9.195495,41,
193033,38.770957,-9.193403,42,
193033,38.771977,-9.190204,43,
193033,38.771076,-9.18924,44,
193033,38.769542,-9.189714,45,
193034,38.770971,-9.188971,1,
